Name,Mileage,Dealer Name,Rating,Review Count,Price
2019 Mercedes-Benz C-Class C 300 4MATIC,"26,916 mi.",Mercedes-Benz of Birmingham,4.9,779 ,"$45,990"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"37,321 mi.",Mercedes-Benz of Birmingham,4.9,779 ,"$74,994"
2019 Mercedes-Benz C-Class C 300 4MATIC,"23,607 mi.",Mercedes-Benz of North Olmsted,4.9,"1,511 ","$37,549"
2019 Mercedes-Benz C-Class C 300 4MATIC,"22,591 mi.",Mercedes-Benz of Fort Mitchell,4.9,325 ,"$36,826"
2021 Mercedes-Benz AMG GLE 53 Base,"40,807 mi.",Mercedes Benz of Hoffman Estates,4.7,"1,073 ","$94,999"
2019 Mercedes-Benz C-Class C 300 4MATIC,"47,590 mi.",Mercedes-Benz of Ann Arbor,4.7,465 ,"$34,200"
2019 Mercedes-Benz GLS 450 Base 4MATIC,"22,160 mi.",Mercedes-Benz of North Haven,4.8,"1,154 ","$64,887"
2019 Mercedes-Benz GLA 250 Base,"26,950 mi.",Mercedes-Benz of Coconut Creek,4.6,911 ,"$29,882"
2020 Mercedes-Benz C-Class C 300,"21,359 mi.",Mercedes-Benz of Wesley Chapel,4.5,501 ,"$41,599"
2018 Mercedes-Benz GLS 450 Base 4MATIC,"22,541 mi.",Mercedes-Benz of Fort Lauderdale,4.6,917 ,"$63,867"
2019 Mercedes-Benz GLA 250 4MATIC,"17,573 mi.",Mercedes-Benz of Hanover,4.6,377 ,"$36,500"
2019 Mercedes-Benz GLC 300 Base 4MATIC,"15,570 mi.",Mercedes-Benz of Calabasas,4.6,884 ,"$37,999"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"20,685 mi.",Mercedes-Benz of Birmingham,4.9,779 ,"$79,998"
2021 Mercedes-Benz GLB 250 4MATIC,"13,618 mi.",Mercedes-Benz of Westwood,4.5,426 ,"$45,337"
2019 Mercedes-Benz C-Class C 300 4MATIC,"25,816 mi.",Mercedes-Benz of Lehigh Valley,4.5,140 ,"$39,995"
2017 Mercedes-Benz AMG C 43 Base 4MATIC,"42,802 mi.",Mercedes-Benz of Fredericksburg,4.6,300 ,"$43,000"
2020 Mercedes-Benz GLA 250 Base 4MATIC,"19,428 mi.",Mercedes-Benz of Fort Washington,4.6,"2,198 ","$38,382"
2019 Mercedes-Benz S-Class S 560,"19,366 mi.",Fletcher Jones Imports,4.9,"2,356 ","$78,992"
2021 Mercedes-Benz GLB 250 Base,"11,537 mi.",Mercedes-Benz of Sarasota,4.6,"1,249 ","$43,777"
2021 Mercedes-Benz GLC 300 4MATIC Coupe,"13,080 mi.",Sears Imported Autos,4.9,"1,856 ","$58,971"
2020 Mercedes-Benz GLE 450 AWD 4MATIC,"20,048 mi.",Mercedes-Benz of Columbia,4.9,868 ,"$79,999"
2020 Mercedes-Benz GLE 350 Base 4MATIC,"21,464 mi.",Mercedes Benz of Atlantic City,4.6,"1,020 ","$59,741"
2019 Mercedes-Benz AMG C 63 S,"24,160 mi.",Mercedes-Benz of Plano,4.5,"1,161 ","$90,955"
2019 Mercedes-Benz GLC 300 Base 4MATIC,"14,499 mi.",Mercedes-Benz of Ann Arbor,4.7,465 ,"$40,800"
2019 Mercedes-Benz SLC 300 Base,"16,657 mi.",Mercedes-Benz of Edison,4.9,"2,554 ","$54,997"
2021 Mercedes-Benz GLC 300 Base,"12,605 mi.",Mercedes-Benz of Laguna Niguel,4.8,"1,581 ","$44,989"
2019 Mercedes-Benz C-Class C 300 4MATIC,"26,940 mi.",Mercedes-Benz of Lehigh Valley,4.5,140 ,"$37,995"
2017 Mercedes-Benz E-Class E 300 Luxury,"20,620 mi.",Mercedes-Benz of South Bay,4.6,"1,123 ","$38,591"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"11,439 mi.",Mercedes-Benz of Calabasas,4.6,884 ,"$70,999"
2019 Mercedes-Benz C-Class C 300,"29,310 mi.",Mercedes-Benz of South Bay,4.6,"1,123 ","$40,991"
2020 Mercedes-Benz G-Class G 550 4MATIC,"22,172 mi.",Mercedes-Benz of Knoxville,4.7,292 ,"$190,000"
2019 Mercedes-Benz G-Class G 550 4MATIC,"24,586 mi.",Plaza Motor Company,4.5,51 ,"$164,500"
2021 Mercedes-Benz GLC 300 Base,"11,088 mi.",Mercedes-Benz of Atlanta Northeast,4.8,"1,804 ","$51,376"
2019 Mercedes-Benz GLA 250 Base 4MATIC,"22,320 mi.",Mercedes-Benz of Sacramento,4.3,"2,560 ","$35,574"
2021 Mercedes-Benz GLC 300 Base,"12,540 mi.",Mercedes-Benz of Laguna Niguel,4.8,"1,581 ","$45,489"
2019 Mercedes-Benz AMG G 63 Base,"35,821 mi.",Fletcher Jones Motorcars,4.8,"5,199 ","$209,893"
2020 Mercedes-Benz GLE 450 AWD 4MATIC,"22,913 mi.",Fletcher Jones Motorcars,4.8,"5,199 ","$75,894"
2019 Mercedes-Benz E-Class E 300 4MATIC,"27,727 mi.",Mercedes-Benz of Massapequa,4.8,"1,665 ","$44,695"
2020 Mercedes-Benz GLE 350 Base 4MATIC,"27,333 mi.",Mercedes-Benz of Wesley Chapel,4.5,501 ,"$60,820"
2021 Mercedes-Benz AMG G 63 Base,"10,254 mi.",Mercedes-Benz of Houston Greenway,4.7,"1,847 ","$245,995"
2020 Mercedes-Benz C-Class C 300,"21,522 mi.",Mercedes-Benz of Scottsdale,4.7,448 ,"$48,991"
2021 Mercedes-Benz GLC 300 Base,"14,821 mi.",Mercedes-Benz of Jackson,4.8,812 ,"$52,649"
2019 Mercedes-Benz AMG C 43 Base 4MATIC,"16,688 mi.",Fletcher Jones Imports,4.9,"2,356 ","$53,994"
2019 Mercedes-Benz AMG GLC 63 Base 4MATIC,"29,942 mi.",Mercedes-Benz of Walnut Creek,4.6,836 ,"$71,888"
2021 Mercedes-Benz G-Class G 550 4MATIC,"11,423 mi.",Motor Werks - Barrington Auto Mall,4.8,"4,716 ","$198,500"
2022 Mercedes-Benz AMG GT 43 Base,996 mi.,Mercedes-Benz of Austin,4.8,"1,199 ","$118,999"
2019 Mercedes-Benz A-Class A 220 4MATIC,"24,352 mi.",Fletcher Jones Motorcars,4.8,"5,199 ","$37,894"
2016 Mercedes-Benz C-Class C 450 AMG 4MATIC,"23,440 mi.",Fletcher Jones Imports,4.9,"2,356 ","$41,993"
2017 Mercedes-Benz AMG E 43 Base 4MATIC,"18,130 mi.",Mercedes-Benz of Ann Arbor,4.7,465 ,"$56,500"
2020 Mercedes-Benz E-Class E 450,"22,268 mi.",Mercedes-Benz of Plano,4.5,"1,161 ","$67,444"
2019 Mercedes-Benz GLA 250 4MATIC,"21,356 mi.",Mercedes-Benz of Westwood,4.5,426 ,"$34,737"
2021 Mercedes-Benz AMG GLE 53 ,"40,496 mi.",Mercedes-Benz of Hanover,4.6,377 ,"$88,990"
2018 Mercedes-Benz GLC 300 Base,"57,470 mi.",Mercedes-Benz of Houston Greenway,4.7,"1,847 ","$33,981"
2018 Mercedes-Benz C-Class C 300,"20,420 mi.",Mercedes-Benz of Scottsdale,4.7,448 ,"$33,991"
2019 Mercedes-Benz E-Class E 450,"17,823 mi.",Mercedes-Benz of White Plains,4.9,"1,636 ","$64,345"
2021 Mercedes-Benz C-Class C 300 4MATIC,"16,165 mi.",Mercedes-Benz of Jackson,4.8,812 ,"$52,500"
2021 Mercedes-Benz AMG GLE 53 Base,"5,298 mi.",Mercedes Benz of Hoffman Estates,4.7,"1,073 ","$109,999"
2020 Mercedes-Benz GLE 350 Base,"12,701 mi.",Mercedes-Benz of Calabasas,4.6,884 ,"$55,999"
2021 Mercedes-Benz C-Class C 300,"2,407 mi.",Mercedes-Benz of Sugar Land,4.5,533 ,"$49,989"
2020 Mercedes-Benz AMG C 43 Base 4MATIC,"20,979 mi.",Mercedes-Benz of Stevens Creek,4.7,"1,459 ","$68,997"
2020 Mercedes-Benz G-Class G 550 4MATIC,"24,056 mi.",Mercedes-Benz of Fresno,4.8,498 ,"$189,998"
2021 Mercedes-Benz E-Class E 350 4MATIC,"13,121 mi.",Mercedes-Benz of Westwood,4.5,426 ,"$59,046"
2016 Mercedes-Benz AMG S AMG S 63 4MATIC,"40,547 mi.",Mercedes-Benz of Warwick,4.6,255 ,"$79,995"
2017 Mercedes-Benz S-Class S 550 4MATIC,"28,550 mi.",Mercedes-Benz of Silver Spring,4.8,"1,573 ","$77,900"
2019 Mercedes-Benz CLA 250 Base,"30,629 mi.",Mercedes-Benz of Houston North,4.5,"1,193 ","$34,389"
2019 Mercedes-Benz S-Class S 450,"36,337 mi.",Mercedes-Benz of San Francisco / Smart Center San Francisco,4.0,59 ,"$65,552"
2020 Mercedes-Benz AMG CLS 53 Base 4MATIC,"17,144 mi.",Mercedes-Benz of Fresno,4.8,498 ,"$87,888"
2019 Mercedes-Benz AMG GLC 43 Base 4MATIC,"22,601 mi.",Fletcher Jones Motorcars of Fremont,4.9,"1,172 ","$68,483"
2021 Mercedes-Benz GLB 250 Base,"12,261 mi.",Mercedes-Benz of Sarasota,4.6,"1,249 ","$44,777"
2020 Mercedes-Benz GLC 300 Base,"22,862 mi.",Mercedes-Benz of Austin,4.8,"1,199 ","$45,999"
2021 Mercedes-Benz AMG G 63 Base,"5,794 mi.",Mercedes-Benz Of Henderson,4.9,"1,631 ","$279,684"
2020 Mercedes-Benz AMG GT 53 Base,"41,390 mi.",Mercedes-Benz of Marietta,4.7,437 ,"$103,999"
2021 Mercedes-Benz GLE 350 Base,"9,149 mi.",Mercedes-Benz of Houston Greenway,4.7,"1,847 ","$65,981"
2019 Mercedes-Benz CLA 250 Base,"36,388 mi.",Fletcher Jones Motorcars,4.8,"5,199 ","$31,894"
2018 Mercedes-Benz AMG E 63 S 4MATIC,"37,571 mi.",Mercedes-Benz of El Dorado Hills,4.7,"2,039 ","$90,995"
2018 Mercedes-Benz SLC 300 Base,"21,452 mi.",Mercedes-Benz of Austin,4.8,"1,199 ","$45,999"
2019 Mercedes-Benz GLC 300 GLC 300,"34,664 mi.",Mercedes-Benz of Birmingham,4.9,779 ,"$43,994"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"29,925 mi.",Mercedes-Benz of Naperville,4.6,543 ,"$68,500"
2019 Mercedes-Benz AMG S 63 Base 4MATIC,"31,933 mi.",Mercedes-Benz of Springfield,4.9,84 ,"$159,998"
2020 Mercedes-Benz AMG GLC 43 Base 4MATIC,"31,363 mi.",Mercedes-Benz of Fredericksburg,4.6,300 ,"$67,500"
2017 Mercedes-Benz C-Class C 300,"14,914 mi.",Mercedes-Benz of North Palm Beach,4.7,45 ,"$47,500"
2020 Mercedes-Benz S-Class S 560 4MATIC,"36,674 mi.",Mercedes-Benz of Hilton Head,4.6,149 ,"$85,000"
2016 Mercedes-Benz G-Class G 550,"50,311 mi.",Mercedes-Benz of Nashville,4.7,827 ,"$89,998"
2019 Mercedes-Benz AMG CLS 53 S-Model 4MATIC,"39,793 mi.",Feldmann Imports,4.8,622 ,"$74,781"
2019 Mercedes-Benz AMG GLC 43 Base 4MATIC,"23,846 mi.",Mercedes-Benz of Burlington,4.7,261 ,"$59,993"
2021 Mercedes-Benz AMG GLE 53 4MATIC Coupe,"12,099 mi.",Mercedes-Benz of West Houston,3.9,25 ,"$111,992"
2020 Mercedes-Benz GLS 580 Base 4MATIC,"9,013 mi.",Mercedes-Benz of Wesley Chapel,4.5,501 ,"$118,736"
2019 Mercedes-Benz E-Class E 450,"13,033 mi.",Euro Motorcars Inc,4.6,575 ,"$65,881"
2019 Mercedes-Benz AMG GLC 63 Base 4MATIC,"22,789 mi.",Mercedes-Benz of Scottsdale,4.7,448 ,"$76,991"
2019 Mercedes-Benz GLS 450 Base 4MATIC,"13,603 mi.",Mercedes-Benz of Owings Mills,4.9,"2,057 ","$69,590"
2021 Mercedes-Benz AMG GLC 63 4MATIC,"11,596 mi.",Mercedes-Benz of Pittsburgh,4.5,76 ,"$89,980"
2018 Mercedes-Benz AMG E 63 S 4MATIC,"38,111 mi.",Mercedes-Benz of Easton,4.7,667 ,"$88,230"
2020 Mercedes-Benz GLC 300 Base,"21,159 mi.",Mercedes-Benz of Austin,4.8,"1,199 ","$45,999"
2021 Mercedes-Benz AMG GLS 63 Base 4MATIC,"18,361 mi.",Mercedes-Benz of Chesterfield,4.4,98 ,"$170,929"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"44,929 mi.",Jackie Cooper Imports,4.9,"3,249 ","$65,158"
